Tide Gauge Name,Latitude,Longitude,Start Year,End Year,Mean Amplitude (cm),Minimum Amplitude (cm),Maximum Amplitude (cm),Std of Amplitude (cm),Ratio: Mean/Max,Trends Post-1970 (mm/yr),Significant,Phase Mean (degrees),Phase Circular Std (degrees),ENSO,SigENSO,NAO,SigNAO,AMO,SigAMO,PDO,SigPDO,,,,,
'LEROS',37.13,26.85,1971,2016,4.22,0.41,9.47,1.79,0.45,0.55,1,270.51,32.46,2.87,1,-0.80,NaN,3.72,1,0.23,NaN,,,,,
'SIROS',37.44,24.95,1971,2016,7.71,4.14,11.46,1.47,0.67,0.71,1,241.69,10.72,2.74,1,-2.10,NaN,3.19,1,0.76,NaN,,,,,
'GOTEBORG___TORSHAMNEN',57.68,11.79,1971,2016,10.00,4.41,15.48,2.52,0.65,-0.87,1,295.24,15.17,-2.82,NaN,-1.71,NaN,-2.06,NaN,-3.54,1,,,,,
'KHALKIS_NORTH',38.47,23.59,1971,2016,4.71,0.21,10.41,2.25,0.45,0.97,1,269.25,30.51,1.31,NaN,0.51,NaN,1.05,NaN,-0.03,NaN,,,,,
'ALEXANDROUPOLIS',40.84,25.88,1971,2016,3.14,0.40,9.13,1.90,0.34,0.14,NaN,239.58,39.75,-1.12,NaN,2.74,NaN,-0.80,NaN,-1.90,NaN,,,,,
'LEVKAS',38.83,20.71,1971,2016,5.91,2.75,9.73,1.49,0.61,-0.11,NaN,305.62,32.17,4.42,1,2.82,1,0.37,NaN,4.12,1,,,,,
'KATAKOLON',37.64,21.32,1971,2016,5.79,3.35,8.21,1.08,0.71,0.16,NaN,299.79,16.63,3.50,1,-0.94,NaN,1.03,NaN,3.55,1,,,,,
'RORVIK',64.86,11.23,1972,2017,13.69,11.04,17.33,1.35,0.79,-0.07,NaN,327.83,10.41,1.21,NaN,2.73,NaN,-1.54,NaN,-0.32,NaN,,,,,
'BAMFIELD',48.85,-125.13,1972,2016,10.57,6.91,14.98,1.91,0.71,-0.45,NaN,5.40,7.54,4.04,1,-4.99,1,7.08,1,4.31,1,,,,,
'HAY_POINT',-21.28,149.30,1972,2016,9.93,7.35,12.03,0.97,0.83,0.54,NaN,73.82,4.39,-0.70,NaN,0.48,NaN,-2.15,1,-2.42,1,,,,,
'PORT_TUDY',47.64,-3.45,1978,2016,5.10,1.73,7.60,1.24,0.67,0.13,NaN,324.30,21.45,3.48,1,0.84,NaN,-2.83,1,-0.94,NaN,,,,,
'SULTAN_SHOAL',1.23,103.65,1971,2016,5.77,3.21,7.84,0.97,0.74,0.14,NaN,326.91,11.19,-2.98,1,-2.26,1,2.29,1,-3.15,1,,,,,
'MORMUGAO',15.42,73.80,1971,2013,8.85,6.73,10.84,0.94,0.82,NaN,NaN,27.27,5.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'MALAKAL_B',7.33,134.47,1971,2016,7.79,2.97,13.06,1.78,0.60,-0.27,NaN,224.96,18.62,-0.22,NaN,-3.60,NaN,13.68,1,7.24,1,,,,,
'RIKITEA',-23.12,-134.97,1972,2016,3.38,1.49,5.75,0.78,0.59,-0.09,NaN,106.14,17.66,4.63,1,-4.12,1,1.72,NaN,2.24,1,,,,,
'OGA',39.94,139.71,1972,2016,12.76,10.15,15.39,1.14,0.83,-0.09,NaN,251.27,4.11,-2.54,1,0.79,NaN,-2.18,1,-3.19,1,,,,,
'AKUNE',32.02,130.19,1972,2016,17.23,15.28,19.09,0.93,0.90,0.05,NaN,231.17,1.93,-2.75,1,0.00,NaN,-1.99,1,-3.24,1,,,,,
'HACHINOHE_II',40.53,141.53,1973,2008,10.92,8.13,12.78,0.93,0.85,-0.24,NaN,255.19,3.39,0.37,NaN,1.20,NaN,-0.45,NaN,-2.46,1,,,,,
'HONNINGSVAG',70.98,25.97,1972,2017,12.63,9.56,16.02,1.14,0.79,-0.18,NaN,330.89,10.11,-0.66,NaN,1.99,NaN,-1.17,NaN,-1.01,NaN,,,,,
'BOOBY_ISLAND',-10.60,141.91,1972,2017,29.03,21.69,33.19,2.29,0.87,0.86,1,33.15,4.17,5.53,1,-1.78,NaN,-1.06,NaN,-1.45,NaN,,,,,
'CHARLESTON_II',43.35,-124.32,1972,2017,9.81,4.84,14.18,1.97,0.69,-0.40,NaN,358.63,9.80,5.76,1,-3.94,1,8.64,1,6.00,1,,,,,
'EASTER_ISLAND_E',-27.15,-109.47,1972,2016,3.50,0.70,5.99,1.13,0.58,0.06,NaN,105.65,26.96,0.35,NaN,-2.19,NaN,0.22,NaN,-1.60,NaN,,,,,
'CALLAO_2',-12.05,-77.15,1972,2015,4.30,0.95,8.03,1.17,0.54,0.48,1,92.08,14.43,-1.89,NaN,-3.42,1,2.76,1,-3.53,1,,,,,
'OITA_II',33.27,131.69,1973,2016,16.88,14.54,18.28,0.80,0.92,-0.04,NaN,232.10,3.04,-0.53,NaN,0.21,NaN,-2.58,1,-2.67,1,,,,,
'CAMBRIDGE_II',38.57,-76.07,1973,2017,9.27,6.15,12.37,1.35,0.75,0.80,1,215.44,5.02,0.59,NaN,1.67,NaN,-0.14,NaN,-0.93,NaN,,,,,
'URAKAWA_II',42.17,142.77,1973,2000,3.12,1.75,4.59,0.60,0.68,0.10,NaN,249.21,17.71,-1.97,NaN,-9.07,1,2.02,NaN,-3.77,1,,,,,
'CABO_DE_SAN_ANTONIO',21.90,-84.90,1973,2016,6.58,3.14,9.10,1.39,0.72,0.49,1,240.24,11.72,-2.88,1,3.36,1,-0.99,NaN,-2.11,1,,,,,
'NORTH_SYDNEY',46.22,-60.25,1972,2016,6.82,4.50,8.92,0.89,0.76,-0.16,NaN,321.60,7.85,2.14,1,2.79,1,-2.29,1,2.82,1,,,,,
'TRAVEMUNDE',53.96,10.87,1858,2016,4.20,0.47,8.58,1.33,0.49,-0.21,NaN,250.47,22.07,-1.47,NaN,-0.26,NaN,1.77,NaN,0.38,NaN,,,,,
'ABURATSUBO',35.16,139.62,1932,2016,8.55,5.87,10.77,0.85,0.79,-0.16,NaN,256.75,7.01,0.55,NaN,0.86,NaN,-2.07,NaN,0.90,NaN,,,,,
'KARIYA',33.47,129.85,1974,2016,18.76,16.58,20.68,1.02,0.91,-0.16,NaN,230.10,1.43,-1.26,NaN,-1.56,NaN,-1.50,NaN,-3.11,1,,,,,
'WAJIMA',37.41,136.90,1932,2016,15.39,12.89,18.26,0.96,0.84,-0.03,NaN,247.67,2.85,0.71,NaN,-1.19,NaN,-1.21,NaN,-0.64,NaN,,,,,
